,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,City Council District,Agency,Site,BBL,Address,Borough,Environmental Justice Zone*,Installation date,Installed  Capacity,Percentage of Max Peak Demand,Estimated Annual Production,Percentage of Annual Electricity Consumption,Estimated Annual Emissions Reduction,Estimated Social Cost of Carbon Value**,Estimated Annual Energy Savings***,Upfront Project Cost,Financing Mechanism
35,35,35,35,35,35,35,36,DCLA,Brooklyn Children's Museum,3012290001,145 Brooklyn Avenue,Brooklyn,EJZ,9/16/2009,26.5 kW,6%,"31,107 kWh",2%,8 MT CO2,"$1,069","$3,256","$247,283",Capital
36,36,36,36,36,36,36,36,DOE,K324,3016360001,800 Gates Ave,Brooklyn,EJZ,9/24/2015,120.8 kW,14%,"141,922 kWh",8%,37 MT CO2,"$4,878","$12,869","$545,104",Capital
37,37,37,37,37,37,37,36,DOE,K455,3017010001,1700 Fulton Street,Brooklyn,EJZ,10/23/2015,505.1 kW,31%,"592,883 kWh",17%,154 MT CO2,"$20,378","$47,978","$2,114,467",Capital
38,38,38,38,38,38,38,37,DOE,K302,3039690001,350 Linwood St,Brooklyn,EJZ,9/22/2015,137.3 kW,24%,"161,275 kWh",16%,42 MT CO2,"$5,543","$14,624","$616,767",Capital
39,39,39,39,39,39,39,38,DPR,Red Hook Recreation Center,3005820001,155 Bay St,Brooklyn,EJZ,11/1/2014,36.6 kW,13%,"42,963 kWh",8%,11 MT CO2,"$1,477","$4,497","$75,000",Capital
40,40,40,40,40,40,40,38,EDC,Brooklyn Army Terminal,3057780001,80 58th St.,Brooklyn,0,9/9/2013,100.0 kW,0,"117,384 kWh",0,31 MT CO2,"$4,035",$0,0,Agency Funded
41,41,41,41,41,41,41,39,DOE,K032,3004370001,317 Hoyt St,Brooklyn,0,7/1/2012,47.6 kW,12%,"55,875 kWh",9%,15 MT CO2,"$1,921","$5,849","$341,670",Capital
42,42,42,42,42,42,42,42,DOE,K224,3045290133,755 Wortman Ave,Brooklyn,EJZ,9/24/2015,98.8 kW,17%,"116,118 kWh",15%,30 MT CO2,"$3,991","$11,406","$449,555",Capital
43,43,43,43,43,43,43,44,DOE,K505,3055060006,5800 20th Ave,Brooklyn,EJZ,9/18/2015,362.3 kW,37%,"425,329 kWh",31%,111 MT CO2,"$14,619","$35,811","$1,516,875",Capital
44,44,44,44,44,44,44,45,DSNY,Brooklyn South 14 District Garage,3079180145,1397 Ralph Ave,Brooklyn,0,3/22/2012,49.7 kW,29%,"58,340 kWh",11%,15 MT CO2,"$2,005","$6,107","$511,334",Capital
