,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,City Council District,2018 Solar-Ready Status,Agency,Site,BBL,Address,Borough,Environmental Justice Zone**,Total Gross Square Footage,Roof Condition,Roof Age,Solar-Readiness Assessment***,Other Sustainability Projects****
275,275,275,275,8,Not Solar-Ready,DEP,#17 Cake Storage,1,Wards Island WPCP,Manhattan,EJZ,"50,625 GSF",Poor,> 20 years,,
276,276,276,276,8,Solar-Ready,DPR,St. Mary's Recreation Center and Indoor Pool,2025570001,450 St Anns Ave,Bronx,EJZ,"56,125 GSF",Between Good and Fair,5 to 9 years,,Green Roof
277,277,277,277,8,Not Solar-Ready,DHS,Schwartz Homeless Shelter,1,"65 Charles Gay Loop, Ward's Island",Manhattan,EJZ,"57,430 GSF",Unknown,Unknown,,
278,278,278,278,8,Not Solar-Ready,HHC,Segundo Ruiz Belvis Diagnostic and Treatment Center,2022690021,545 East 142nd St,Bronx,EJZ,"62,684 GSF",Between Fair and Poor,> 20 years,,
279,279,279,279,8,Not Solar-Ready,DOE,M495,1016540033,234 EAST 105 STREET,Manhattan,EJZ,"66,060 GSF",Between Fair and Poor,10 to 14 years,,
280,280,280,280,8,Not Solar-Ready,DEP,Hypo Facility,1,Wards Island WPCP,Manhattan,EJZ,"67,944 GSF",Unknown,> 20 years,,
281,281,281,281,8,Not Solar-Ready,DHS,Transitional Housing Office,2025720006,346 Powers Ave,Bronx,EJZ,"72,000 GSF",Between Good and Fair,10 to 14 years,,
282,282,282,282,8,Solar-Ready,DHS,Jackson Family Residence,2025670013,691 East 138th St,Bronx,EJZ,"72,000 GSF",Good,5 to 9 years,,
283,283,283,283,8,Solar-Ready,DHS,Emergency Assistance Unit (EAU),2,151 East 151st St,Bronx,EJZ,"76,743 GSF",Good,5 to 9 years,,
284,284,284,284,8,Not Solar-Ready,DHS,Keener Assessment Shelter,1,"64 Sunken Garden Loop, Ward's Island",Manhattan,EJZ,"78,500 GSF",Unknown,Unknown,,
285,285,285,285,8,Not Solar-Ready,DOE,M102,1016840101,315 EAST 113 STREET,Manhattan,EJZ,"82,880 GSF",Between Fair and Poor,15 to 19 years,,
286,286,286,286,8,Not Solar-Ready,DOE,X025,2026640001,811 EAST 149 STREET,Bronx,EJZ,"84,080 GSF",Under construction,Under construction,,
287,287,287,287,8,Not Solar-Ready,DOE,M038,1016520016,232 EAST 103 STREET,Manhattan,EJZ,"85,280 GSF",Fair,10 to 14 years,,
288,288,288,288,8,Not Solar-Ready,DOE,X027,2022740023,519 ST ANNS AVENUE,Bronx,EJZ,"86,500 GSF",Between Fair and Poor,> 20 years,,
289,289,289,289,8,Not Solar-Ready,DOE,M072,1016320011,131 EAST 104 STREET,Manhattan,EJZ,"88,900 GSF",Fair,> 20 years,,
290,290,290,290,8,Not Solar-Ready,DHS,Help USA Support Employment Center,1,"111 Sunken Garden Loop, Ward's Island",Manhattan,EJZ,"90,010 GSF",Fair,15 to 19 years,,
291,291,291,291,8,Not Solar-Ready,DOE,X065,2025710001,677 EAST 141 STREET,Bronx,EJZ,"91,300 GSF",Fair,15 to 19 years,,
292,292,292,292,8,Not Solar-Ready,DOE,X073,2025040082,1020 ANDERSON AVENUE,Bronx,EJZ,"92,400 GSF",Fair,15 to 19 years,,
293,293,293,293,8,Not Solar-Ready,HRA,East Harlem Multi Service Center,1018080008,413 East 120th St,Manhattan,EJZ,"93,441 GSF",Fair,15 to 19 years,,
294,294,294,294,8,Not Solar-Ready,DOE,X062,2026830065,660 FOX STREET,Bronx,EJZ,"94,880 GSF",Under construction,Under construction,Yes,
295,295,295,295,8,Not Solar-Ready,DOE,M083,1016590012,219 EAST 109 STREET,Manhattan,EJZ,"94,900 GSF",Fair,10 to 14 years,,
296,296,296,296,8,Not Solar-Ready,DOE,M096,1017840012,216 EAST 120 STREET,Manhattan,EJZ,"94,900 GSF",Fair,15 to 19 years,,
297,297,297,297,8,Solar-Ready,DHS,University Avenue Family Residences,2025270014,1041 University Ave,Bronx,EJZ,"99,975 GSF",Good,< 2 years,,
298,298,298,298,8,Not Solar-Ready,DOE,X030,2022670015,510 EAST 141 STREET,Bronx,EJZ,"100,900 GSF",Between Good and Fair,10 to 14 years,,
299,299,299,299,8,Not Solar-Ready,DOE,M007,1017680021,160 EAST 120 STREET,Manhattan,EJZ,"102,200 GSF",Fair,15 to 19 years,,
300,300,300,300,8,Not Solar-Ready,DOE,X005,2026420001,564 JACKSON AVENUE,Bronx,EJZ,"103,280 GSF",Fair,15 to 19 years,,
301,301,301,301,8,Not Solar-Ready,DOE,M155,1016890005,319 EAST 117 STREET,Manhattan,EJZ,"104,500 GSF",Fair,> 20 years,,
302,302,302,302,8,Not Solar-Ready,DOE,X161,2026640029,620 TINTON AVENUE,Bronx,EJZ,"104,525 GSF",Between Fair and Poor,10 to 14 years,,
303,303,303,303,8,Not Solar-Ready,FDNY,EMS 10,1016910002,1918 1st Ave,Manhattan,EJZ,"105,650 GSF",Good,10 to 14 years,,
304,304,304,304,8,Not Solar-Ready,DOE,M108,1016140021,1615 MADISON AVENUE,Manhattan,EJZ,"105,725 GSF",Fair,15 to 19 years,,
305,305,305,305,8,Not Solar-Ready,DOE,X154,2022980001,333 EAST 135 STREET,Bronx,EJZ,"105,725 GSF",Between Fair and Poor,> 20 years,,
306,306,306,306,8,Not Solar-Ready,DOE,X040,2022840034,468 EAST 140 STREET,Bronx,EJZ,"108,000 GSF",Fair,15 to 19 years,,
307,307,307,307,8,Not Solar-Ready,DOE,M057,1016400139,176 EAST 115 STREET,Manhattan,EJZ,"109,300 GSF",Fair,> 20 years,,
308,308,308,308,8,Not Solar-Ready,DOE,M146,1017000001,421 EAST 106 STREET,Manhattan,EJZ,"109,300 GSF",Between Good and Fair,15 to 19 years,,
309,309,309,309,8,Not Solar-Ready,DEP,Dewatering,1,Wards Island WPCP,Manhattan,EJZ,"110,000 GSF",Poor,> 20 years,,
310,310,310,310,8,Solar-Ready,DOE,M646,1016680001,321 E. 96 ST.,Manhattan,EJZ,"112,800 GSF",Between Good and Fair,5 to 9 years,,
311,311,311,311,8,Not Solar-Ready,DCLA,Museum of the City of New York,1016090001,1220 5th Ave,Manhattan,,"113,915 GSF",Good,10 to 14 years,,
312,312,312,312,8,Solar-Ready,DOE,M171,1016090007,19 EAST 103 STREET,Manhattan,,"114,100 GSF",Good,5 to 9 years,,
313,313,313,313,8,Not Solar-Ready,DOE,X043,2022800040,165 BROWN PLACE,Bronx,EJZ,"116,460 GSF",Fair,15 to 19 years,,
314,314,314,314,8,Not Solar-Ready,DOE,X049,2023020040,383 EAST 139 STREET,Bronx,EJZ,"136,925 GSF",Fair,> 20 years,,
315,315,315,315,8,Solar-Ready,DOE,M099,1016930001,410 EAST 100 STREET,Manhattan,EJZ,"138,125 GSF",Good,2 to 4 years,,
316,316,316,316,8,Not Solar-Ready,DEP,#10 Digester,1,Wards Island WPCP,Manhattan,EJZ,"141,043 GSF",Poor,> 20 years,,
317,317,317,317,8,Not Solar-Ready,DOE,M050,1016940001,433 EAST 100 STREET,Manhattan,EJZ,"141,600 GSF",Under construction,Under construction,,
318,318,318,318,8,Not Solar-Ready,DOE,M101,1016390003,141 EAST 111 STREET,Manhattan,EJZ,"142,925 GSF",Between Good and Fair,10 to 14 years,,
319,319,319,319,8,Not Solar-Ready,DOE,X149,2023060054,360 EAST 145 STREET,Bronx,EJZ,"159,600 GSF",Fair,> 20 years,,
320,320,320,320,8,Not Solar-Ready,DOE,M013,1016120050,1573 MADISON AVENUE,Manhattan,EJZ,"180,175 GSF",Fair,15 to 19 years,,
321,321,321,321,8,Solar-Ready,DOE,M117,1016560100,240 EAST 109 STREET,Manhattan,EJZ,"192,175 GSF",Good,< 2 years,Yes,
322,322,322,322,8,Not Solar-Ready,DOE,X183,2023330070,339 MORRIS AVENUE,Bronx,EJZ,"194,400 GSF",Between Fair and Poor,> 20 years,,
323,323,323,323,8,Not Solar-Ready,DOE,X155,2025780027,470 JACKSON AVENUE,Bronx,EJZ,"201,775 GSF",Fair,15 to 19 years,,
324,324,324,324,8,Not Solar-Ready,DOE,M045,1017970100,2351 1ST AVENUE,Manhattan,EJZ,"210,000 GSF",Fair,15 to 19 years,,
325,325,325,325,8,Not Solar-Ready,DCLA,Heckscher Building /El Museo de Barrio,1016100001,1230 5th Ave,Manhattan,,"210,547 GSF",Poor,> 20 years,,
326,326,326,326,8,Not Solar-Ready,DOE,M435,1017130001,280 Pleasant Ave,Manhattan,,"275,000 GSF",Between Good and Fair,10 to 14 years,,
327,327,327,327,8,Not Solar-Ready,DCAS,Bronx County Courthouse,2024680001,851 Grand Concourse,Bronx,EJZ,"550,000 GSF",Fair,10 to 14 years,,
328,328,328,328,9,Not Solar-Ready,FDNY,"Engine Co. 69 and Ladder Co. 28, Batt. 16",1020280051,248 West 143rd St,Manhattan,EJZ,"11,250 GSF",Between Fair and Poor,15 to 19 years,,
329,329,329,329,9,Not Solar-Ready,FDNY,Engine Co. 58 & Ladder Co. 26,1016180014,1367 5th Ave,Manhattan,EJZ,"12,000 GSF",Unknown,Unknown,,
330,330,330,330,9,Not Solar-Ready,NYPL,Harlem Branch Library,1017220030,9 West 124th St,Manhattan,EJZ,"13,058 GSF",Poor,15 to 19 years,,
331,331,331,331,9,Not Solar-Ready,DPR,Pelham Fritz Recreation Center,1,122nd St at Mt Morris Park West,Manhattan,,"14,000 GSF",Between Good and Fair,10 to 14 years,,
332,332,332,332,9,Not Solar-Ready,NYPL,115th Street Branch Library,1018310026,203 West 115th St,Manhattan,EJZ,"14,080 GSF",Poor,15 to 19 years,,
333,333,333,333,9,Not Solar-Ready,DEP,Manhattan Sewer Maintenance Yard,1020690026,886 St Nicholas Ave,Manhattan,EJZ,"16,779 GSF",Fair,> 20 years,,
334,334,334,334,9,Not Solar-Ready,HHC,Sydenham Health Center,1019230053,264 West 118th St,Manhattan,EJZ,"21,081 GSF",Poor,> 20 years,,
335,335,335,335,9,Solar-Ready,DPR,Marcus Garvey Park Pool,1,124th St at 5th Ave,Manhattan,,"22,800 GSF",Between Good and Fair,5 to 9 years,,
