,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,City Council District,2018 Solar-Ready Status,Agency,Site,BBL,Address,Borough,Environmental Justice Zone**,Total Gross Square Footage,Roof Condition,Roof Age,Solar-Readiness Assessment***,Other Sustainability Projects****
437,437,437,437,11,Not Solar-Ready,DOE,X430,2032470070,2780 Reservoir Ave,Bronx,,"289,400 GSF",Fair,> 20 years,Yes,
438,438,438,438,11,Not Solar-Ready,HHC,North Central Bronx Hospital,2033270200,3424 Kossuth Ave,Bronx,EJZ,"797,600 GSF",Good,> 20 years,,
439,439,439,439,12,Solar-Ready,NYPL,Wakefield Branch Library,2048320020,4100 Lowerre Pl,Bronx,EJZ,"10,743 GSF",Good,5 to 9 years,,
440,440,440,440,12,Not Solar-Ready,DCAS,Bronx Neighborhood Building,2048320009,4101 White Plains Rd,Bronx,EJZ,"17,364 GSF",Poor,Unknown,,
441,441,441,441,12,Not Solar-Ready,NYPD,47th Precinct,2048760001,4111 Laconia Ave,Bronx,EJZ,"34,700 GSF",Unknown,10 to 14 years,,
442,442,442,442,12,Solar-Ready,DOE,X169,2048940001,3500 EDSON AVENUE,Bronx,EJZ,"37,200 GSF",Good,5 to 9 years,,
443,443,443,443,12,Not Solar-Ready,ACS,1250 East 229 Street,2049050002,1250 East 229 St,Bronx,EJZ,"45,482 GSF",Good,Unknown,,
444,444,444,444,12,Solar-Ready,DOE,X087,2050180001,1935 BUSSING AVENUE,Bronx,EJZ,"52,565 GSF",Fair,5 to 9 years,,
445,445,445,445,12,Not Solar-Ready,DOE,X076,2045520010,900 ADEE AVENUE,Bronx,EJZ,"69,784 GSF",Fair,> 20 years,,
446,446,446,446,12,Not Solar-Ready,DOE,X068,2049860081,4011 MONTICELLO AVENUE,Bronx,EJZ,"84,080 GSF",Fair,15 to 19 years,,
447,447,447,447,12,Not Solar-Ready,DOE,X041,2046240015,3352 OLINVILLE AVENUE,Bronx,EJZ,"85,280 GSF",Between Good and Fair,10 to 14 years,,
448,448,448,448,12,Solar-Ready,DOE,X112,2049050500,1925 SCHIEFELIN AVENUE,Bronx,EJZ,"85,325 GSF",Fair,5 to 9 years,Yes,
449,449,449,449,12,Not Solar-Ready,DOE,X111,2049160001,3740 BAYCHESTER AVENUE,Bronx,EJZ,"85,396 GSF",Fair,15 to 19 years,,
450,450,450,450,12,Solar-Ready,DOE,X021,2048390039,715 EAST 225 STREET,Bronx,EJZ,"90,080 GSF",Good,2 to 4 years,Yes,
451,451,451,451,12,Solar-Ready,DOE,X103,2048230001,4125 CARPENTER AVENUE,Bronx,EJZ,"91,944 GSF",Fair,5 to 9 years,,
452,452,452,452,12,Not Solar-Ready,DOE,X078,2047190001,1400 NEEDHAM AVENUE,Bronx,EJZ,"109,280 GSF",Fair,15 to 19 years,,
453,453,453,453,12,Not Solar-Ready,DOE,X153,2051410150,650 BAYCHESTER AVENUE,Bronx,,"112,200 GSF",Fair,10 to 14 years,,
454,454,454,454,12,Not Solar-Ready,DOE,X178,2051410150,850 BAYCHESTER AVENUE,Bronx,,"114,000 GSF",Between Good and Fair,10 to 14 years,,
455,455,455,455,12,Not Solar-Ready,DOE,X189,2052630192,3441 STEENWICK AVENUE,Bronx,EJZ,"129,600 GSF",Fair,10 to 14 years,Yes,
456,456,456,456,12,Not Solar-Ready,DOE,X160,2049050002,4140 HUTCHINSON RIVER PK,Bronx,EJZ,"147,600 GSF",Fair,15 to 19 years,,
457,457,457,457,12,Not Solar-Ready,DSNY,Bronx 12 District Garage,2049740028,1643 East 233rd St,Bronx,EJZ,"162,380 GSF",Fair,> 20 years,Yes,
458,458,458,458,12,Not Solar-Ready,DOE,X142,2049350001,3750 BAYCHESTER AVENUE,Bronx,EJZ,"164,751 GSF",Fair,15 to 19 years,Yes,
459,459,459,459,12,Not Solar-Ready,DOE,X180,2051410150,700 BAYCHESTER AVENUE,Bronx,,"180,000 GSF",Fair,10 to 14 years,,
460,460,460,460,12,Not Solar-Ready,DOE,X455,2051410150,750 BAYCHESTER AVE.,Bronx,,"648,600 GSF",Fair,15 to 19 years,Yes,
461,461,461,461,13,Not Solar-Ready,NYPL,Allerton Branch Library,2045130016,2740 Barnes Ave,Bronx,EJZ,"10,984 GSF",Fair,15 to 19 years,,
462,462,462,462,13,Not Solar-Ready,DPR,Orchard Beach Administration Building,2056500001,1 Orchard Beach Rd,Bronx,EJZ,"11,500 GSF",Fair,> 20 years,,
463,463,463,463,13,Not Solar-Ready,NYPL,Morris Park Branch Library,2041260040,985 Morris Park Ave,Bronx,,"16,300 GSF",Fair,10 to 14 years,,
464,464,464,464,13,Not Solar-Ready,DOHMH,Westchester Health Center,2039860034,2527 Glebe Ave,Bronx,EJZ,"21,364 GSF",Unknown,15 to 19 years,,
465,465,465,465,13,Not Solar-Ready,NYPD,45th Precinct,2055310040,2877 Barkley Ave,Bronx,,"26,300 GSF",Between Fair and Poor,Unknown,,
466,466,466,466,13,Not Solar-Ready,NYPD,49th Precinct,2042050001,2121 Eastchester Rd,Bronx,EJZ,"31,070 GSF",Poor,10 to 14 years,,
467,467,467,467,13,Not Solar-Ready,DOE,X108,2042750001,1166 NEILL AVENUE,Bronx,,"37,426 GSF",Between Good and Fair,10 to 14 years,,
468,468,468,468,13,Solar-Ready,DOE,X097,2044740001,1375 MACE AVENUE,Bronx,,"43,904 GSF",Good,2 to 4 years,,
469,469,469,469,13,Not Solar-Ready,HHC,Jacobi Medical Center Staff Residence,20001,1900 Seminole Ave,Bronx,EJZ,"55,300 GSF",Fair,15 to 19 years,,
470,470,470,470,13,Not Solar-Ready,DOE,X175,2056410280,200 CITY ISLAND AVENUE,Bronx,,"56,343 GSF",Between Good and Fair,10 to 14 years,,
471,471,471,471,13,Solar-Ready,DOE,X014,2053130092,3041 BRUCKNER BOULEVARD,Bronx,,"58,055 GSF",Between Good and Fair,5 to 9 years,,
472,472,472,472,13,Not Solar-Ready,DOE,X981,2041250015,1840 BOGART AVENUE,Bronx,EJZ,"61,280 GSF",Between Fair and Poor,15 to 19 years,,
473,473,473,473,13,Not Solar-Ready,DOE,X418,2042900048,2040 ANTIN PL,Bronx,EJZ,"63,330 GSF",Fair,10 to 14 years,,
474,474,474,474,13,Not Solar-Ready,DOE,X722,2041330200,2697 WESTCHESTER AVENUE,Bronx,EJZ,"78,000 GSF",Fair,10 to 14 years,,
475,475,475,475,13,Not Solar-Ready,DOE,X012,2039830001,1450 OVERING STREET,Bronx,EJZ,"84,100 GSF",Fair,15 to 19 years,Yes,
476,476,476,476,13,Not Solar-Ready,DOE,X083,2041250001,950 RHINELANDER AVENUE,Bronx,EJZ,"96,100 GSF",Fair,10 to 14 years,,
477,477,477,477,13,Not Solar-Ready,DOE,X105,2042880001,725 BRADY AVENUE,Bronx,EJZ,"97,505 GSF",Fair,15 to 19 years,,
478,478,478,478,13,Solar-Ready,DOE,X121,2045260001,2750 THROOP AVENUE,Bronx,EJZ,"98,884 GSF",Between Good and Fair,5 to 9 years,Yes,
479,479,479,479,13,Solar-Ready,DOE,X089,2044440016,980 MACE AVENUE,Bronx,EJZ,"107,782 GSF",Good,5 to 9 years,Yes,
480,480,480,480,13,Solar-Ready,DOE,X498,2040910001,1640 BRONXDALE AVE.,Bronx,,"122,792 GSF",Between Good and Fair,5 to 9 years,,
481,481,481,481,13,Not Solar-Ready,DOE,X071,2041710001,3040 ROBERTS AVENUE,Bronx,EJZ,"130,693 GSF",Fair,> 20 years,,
482,482,482,482,13,Solar-Ready,DOE,X072,2054400001,2951 DEWEY AVENUE,Bronx,,"179,960 GSF",Between Good and Fair,5 to 9 years,Yes,
483,483,483,483,13,Not Solar-Ready,DOE,X101,2055470001,2750 LAFAYETTE AVENUE,Bronx,EJZ,"182,525 GSF",Between Fair and Poor,15 to 19 years,,
484,484,484,484,13,Solar-Ready,DCAS,Public Safety Answering Center II,2042260075,350 Marconi St,Bronx,EJZ,"450,000 GSF",Good,5 to 9 years,,
485,485,485,485,13,Not Solar-Ready,HHC,Jacobi Medical Center,2042050001,1400 Pelham Pkwy South,Bronx,EJZ,"2,117,244 GSF",Good,15 to 19 years,,
486,486,486,486,14,Not Solar-Ready,CUNY,Loew Annex,2032220040,2085 University Ave,Bronx,,"10,138 GSF",Poor,Unknown,,
487,487,487,487,14,Not Solar-Ready,CUNY,Snow Hall,2032240001,135 Hall of Fame Ter,Bronx,EJZ,"10,526 GSF",Unknown,Unknown,,
488,488,488,488,14,Not Solar-Ready,FDNY,"Engine Co. 75 and Ladder Co. 33, Batt. 19",2031860037,2175 Walton Ave,Bronx,EJZ,"12,541 GSF",Unknown,15 to 19 years,,
489,489,489,489,14,Not Solar-Ready,CUNY,Havemeyer Lab,2032220062,185 West 180th St,Bronx,,"12,768 GSF",Under construction,Under construction,,
490,490,490,490,14,Solar-Ready,CUNY,The Children's Center,2032220062,2010 Sedgwick Ave,Bronx,,"13,327 GSF",Good,5 to 9 years,,
491,491,491,491,14,Solar-Ready,DPR,St. James Park Recreation Center,2042050001,West 192nd St at Jerome Ave,Bronx,EJZ,"13,700 GSF",Good,2 to 4 years,,Green Roof
492,492,492,492,14,Not Solar-Ready,CUNY,Roscoe C. Brown Student Center - Brown Annex,2032220062,160 Hall of Fame Ter,Bronx,,"14,295 GSF",Poor,Unknown,,
493,493,493,493,14,Not Solar-Ready,CUNY,Philosophy Hall,2032220062,2070 Sedgwick Ave,Bronx,,"16,234 GSF",Poor,Unknown,,
494,494,494,494,14,Not Solar-Ready,NYPL,Francis Martin Branch Library,2032110005,2150 University Ave,Bronx,EJZ,"16,486 GSF",Fair,15 to 19 years,,
495,495,495,495,14,Not Solar-Ready,CUNY,Butler Hall,2032220062,2018 Sedgwick Ave,Bronx,,"17,028 GSF",Poor,Unknown,,
496,496,496,496,14,Not Solar-Ready,CUNY,MacCracken Hall,2032230050,181 Hall of Fame Ter,Bronx,EJZ,"17,028 GSF",Between Fair and Poor,Unknown,,
497,497,497,497,14,Solar-Ready,CUNY,South Hall,2032220062,187 W 180th St,Bronx,,"18,978 GSF",Good,5 to 9 years,,
498,498,498,498,14,Solar-Ready,DPR,Kingsbridge Recreation Center,2032570111,3101 Kings Bridge Ter,Bronx,EJZ,"20,468 GSF",Between Good and Fair,5 to 9 years,,Green Roof
499,499,499,499,14,Not Solar-Ready,CUNY,Language Hall,20062,2050 Sedgwick Ave,Bronx,,"21,413 GSF",Between Fair and Poor,Unknown,,
500,500,500,500,14,Not Solar-Ready,CUNY,Guggenheim Hall,2032220062,155 West 180 St,Bronx,,"21,896 GSF",Poor,Unknown,,
501,501,501,501,14,Not Solar-Ready,CUNY,Energy Plant,2032220062,121 West 180 St,Bronx,,"25,231 GSF",Poor,Unknown,,
502,502,502,502,14,Not Solar-Ready,ACS,Babove Worldwide Institute Inc.,2028610129,1810 Davidson Ave,Bronx,EJZ,"25,760 GSF",Poor,Unknown,,
503,503,503,503,14,Not Solar-Ready,CUNY,Sage Hall,2032220062,175 West 180 St,Bronx,,"27,328 GSF",Good,15 to 19 years,,
504,504,504,504,14,Not Solar-Ready,DOE,X226,2032220100,1950 SEDGWICK AVENUE,Bronx,,"27,600 GSF",Fair,> 20 years,,
505,505,505,505,14,Not Solar-Ready,CUNY,Bliss Hall,2032220062,145 West 180 St,Bronx,,"29,210 GSF",Between Fair and Poor,Unknown,,
506,506,506,506,14,Not Solar-Ready,CUNY,Community Hall,2032220062,2020 Sedgwick Ave,Bronx,,"36,404 GSF",Poor,Unknown,,
507,507,507,507,14,Not Solar-Ready,CUNY,New Hall,2032220062,135 West 180 St,Bronx,,"39,605 GSF",Under construction,Under construction,,
508,508,508,508,14,Not Solar-Ready,CUNY,Gould Hall,2032220062,2151 University Ave,Bronx,,"41,400 GSF",Poor,Unknown,,
509,509,509,509,14,Not Solar-Ready,DOE,X206,2032090001,2280 AQUEDUCT AVENUE,Bronx,EJZ,"50,400 GSF",Between Good and Fair,10 to 14 years,Yes,
510,510,510,510,14,Not Solar-Ready,CUNY,Loew Hall,2032220001,2055 University Ave,Bronx,,"53,776 GSF",Poor,Unknown,,
511,511,511,511,14,Not Solar-Ready,CUNY,Gould Memorial Library,2032220062,2060 Sedgwick Ave,Bronx,,"54,653 GSF",Poor,Unknown,,
512,512,512,512,14,Not Solar-Ready,DOE,X170,2028470041,1594-98 TOWNSEND AVE.,Bronx,EJZ,"56,343 GSF",Fair,> 20 years,,
513,513,513,513,14,Not Solar-Ready,CUNY,Roscoe C. Brown Student Center,2032220062,160 Hall of Fame Ter,Bronx,,"58,794 GSF",Under construction,Under construction,,
514,514,514,514,14,Not Solar-Ready,CUNY,Polowczyk Hall,2032220062,2016 Sedgwick Ave,Bronx,,"61,969 GSF",Poor,Unknown,,
515,515,515,515,14,Solar-Ready,DOE,X360,2032530341,2880 KINGSBRIDGE TERRACE,Bronx,EJZ,"67,280 GSF",Good,2 to 4 years,,
516,516,516,516,14,Solar-Ready,DHS,Mount Eden Avenue SRO Residence,2028650049,50 Mt Eden Ave West,Bronx,EJZ,"68,185 GSF",Good,2 to 4 years,,
517,517,517,517,14,Not Solar-Ready,CUNY,Alumni Gymnasium,2032220040,2053 University Ave,Bronx,,"70,616 GSF",Poor,Unknown,,
518,518,518,518,14,Not Solar-Ready,CUNY,Nichols Hall,2032220062,125 West 180 St,Bronx,,"73,344 GSF",Poor,Unknown,,
519,519,519,519,14,Not Solar-Ready,DOE,X843,2031680027,2641 GRAND CONCOURSE,Bronx,EJZ,"74,480 GSF",Under construction,Under construction,,
520,520,520,520,14,Solar-Ready,DOE,X240,2028590077,1509-1531 JEROME AVE.,Bronx,EJZ,"74,594 GSF",Good,2 to 4 years,,
521,521,521,521,14,Not Solar-Ready,DOE,X091,2032080001,2200 AQUEDUCT AVENUE,Bronx,EJZ,"78,132 GSF",Poor,10 to 14 years,Yes,
522,522,522,522,14,Not Solar-Ready,DOE,X033,2031880020,24-24 JEROME AVENUE,Bronx,EJZ,"84,080 GSF",Fair,15 to 19 years,,
523,523,523,523,14,Not Solar-Ready,DOE,X109,2028770393,1771 POPHAM AVENUE,Bronx,EJZ,"86,324 GSF",Fair,> 20 years,,
524,524,524,524,14,Not Solar-Ready,DOE,X122,2032390041,260 WEST KINGSBRIDGE ROAD,Bronx,EJZ,"91,715 GSF",Fair,15 to 19 years,,
525,525,525,525,14,Not Solar-Ready,DOE,X279,2031780014,2100 WALTON AVE.,Bronx,EJZ,"93,516 GSF",Fair,15 to 19 years,,
526,526,526,526,14,Solar-Ready,DOE,X204,2028660105,1780 DR. MARTIN LUTHER KING JR.,Bronx,EJZ,"93,771 GSF",Good,5 to 9 years,,
527,527,527,527,14,Solar-Ready,CUNY,North Hall and Library,2032220062,200 Hall of Fame Ter,Bronx,,"93,845 GSF",Good,2 to 4 years,,
528,528,528,528,14,Solar-Ready,DHS,Nelson Ave Family Residence,2028760055,1605 Nelson Ave,Bronx,EJZ,"107,000 GSF",Good,2 to 4 years,,
529,529,529,529,14,Not Solar-Ready,DOE,X082,2028660070,1700 MACOMBS ROAD,Bronx,EJZ,"107,125 GSF",Fair,10 to 14 years,,
530,530,530,530,14,Not Solar-Ready,CUNY,Colston Hall,2032220062,2020 Sedgwick Ave,Bronx,,"112,416 GSF",Poor,Unknown,,
531,531,531,531,14,Solar-Ready,DOE,X115,2032530341,120 EAST 184 STREET,Bronx,EJZ,"133,325 GSF",Good,5 to 9 years,,
532,532,532,532,14,Solar-Ready,DOE,X143,2032530141,120 WEST 231 STREET,Bronx,EJZ,"159,775 GSF",Good,< 2 years,,
533,533,533,533,14,Not Solar-Ready,DOE,X015,2032240009,2195 ANDREWS AVENUE,Bronx,EJZ,"162,125 GSF",Between Fair and Poor,> 20 years,,
534,534,534,534,14,Not Solar-Ready,DOE,X079,2031700001,125 EAST 181 STREET,Bronx,EJZ,"182,400 GSF",Under construction,Under construction,Yes,
535,535,535,535,14,Not Solar-Ready,DOE,X306,2028620014,40 WEST TREMONT AVENUE,Bronx,EJZ,"202,975 GSF",Fair,> 20 years,,
536,536,536,536,14,Not Solar-Ready,CUNY,Meister Hall,2032220620,161 West 180 St,Bronx,,"230,601 GSF",Poor,Unknown,,
537,537,537,537,15,Not Solar-Ready,DOE,X236,2029170040,499 EAST 175 STREET,Bronx,EJZ,"9,779 GSF",Fair,10 to 14 years,,
538,538,538,538,15,Not Solar-Ready,DCLA,Operations Multi-Purpose Building,2032220062,2667 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"10,250 GSF",Fair,> 20 years,,
539,539,539,539,15,Not Solar-Ready,DCLA,Operations Garage/Storage Building,2,2667 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"10,733 GSF",Poor,> 20 years,,
540,540,540,540,15,Solar-Ready,FDNY,Bronx Central Office,2043330001,1129 East 180th St,Bronx,EJZ,"10,860 GSF",Good,5 to 9 years,,
541,541,541,541,15,Not Solar-Ready,DCLA,Bronx Zoo Store,2031200020,2300 Southern Blvd,Bronx,EJZ,"11,000 GSF",Good,15 to 19 years,,
542,542,542,542,15,Solar-Ready,DCLA,Reptile House,2031200020,2300 Southern Blvd,Bronx,EJZ,"11,405 GSF",Good,2 to 4 years,,
543,543,543,543,15,Not Solar-Ready,DCLA,Mouse House,2031200020,2300 Southern Blvd,Bronx,EJZ,"11,600 GSF",Fair,> 20 years,,
544,544,544,544,15,Not Solar-Ready,DCLA,Heads & Horns,2031200020,2300 Southern Blvd,Bronx,EJZ,"11,840 GSF",Good,> 20 years,,
545,545,545,545,15,Not Solar-Ready,NYPL,Tremont Branch Library,2029180001,1866 Washington Ave,Bronx,EJZ,"11,900 GSF",Good,10 to 14 years,,
546,546,546,546,15,Not Solar-Ready,FDNY,Engine Co. 90 and Ladder Co. 41,2040490049,1843 White Plains Rd,Bronx,EJZ,"12,520 GSF",Between Fair and Poor,> 20 years,,
547,547,547,547,15,Not Solar-Ready,FDNY,Engine Co. 88 and Ladder Co. 38,2030860038,2225 Belmont Ave,Bronx,EJZ,"12,600 GSF",Between Fair and Poor,> 20 years,,
548,548,548,548,15,Not Solar-Ready,DCLA,Zoo Center,2031200020,2300 Southern Blvd,Bronx,EJZ,"14,320 GSF",Good,Unknown,,
549,549,549,549,15,Solar-Ready,DCLA,Stone Mill,2,2650 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"14,459 GSF",Good,5 to 9 years,,
550,550,550,550,15,Not Solar-Ready,DCLA,Monkey House,2031200020,2300 Southern Blvd,Bronx,EJZ,"15,108 GSF",Good,10 to 14 years,,
551,551,551,551,15,Solar-Ready,DCLA,Garden Cafe & Terrace Room,2032720001,2700 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"15,540 GSF",Good,2 to 4 years,,
552,552,552,552,15,Not Solar-Ready,DCLA,Dancing Crane,2031200020,2300 Southern Blvd,Bronx,EJZ,"16,000 GSF",Good,15 to 19 years,,
553,553,553,553,15,Not Solar-Ready,DCLA,Administration East,2031200020,2300 Southern Blvd,Bronx,EJZ,"16,176 GSF",Fair,Unknown,,
554,554,554,554,15,Not Solar-Ready,DCLA,Farm Apartments,2031200020,2300 Southern Blvd,Bronx,EJZ,"16,750 GSF",Fair,> 20 years,,
555,555,555,555,15,Not Solar-Ready,FDNY,"Engine Co. 48 and Ladder Co. 56, Division 7",2030250025,2417 Webster Ave,Bronx,EJZ,"17,242 GSF",Between Fair and Poor,15 to 19 years,,
556,556,556,556,15,Solar-Ready,DCLA,"Shelter Bldg (Elephant, Rhino, Tiger)",2031200020,2300 Southern Blvd,Bronx,EJZ,"18,100 GSF",Fair,5 to 9 years,,
557,557,557,557,15,Not Solar-Ready,DCLA,Jungle World,2031200020,2300 Southern Blvd,Bronx,EJZ,"18,350 GSF",Good,> 20 years,,
558,558,558,558,15,Not Solar-Ready,NYPL,Grand Concourse Branch Library,2028240034,155 East 173rd St,Bronx,EJZ,"18,874 GSF",Fair,15 to 19 years,,
559,559,559,559,15,Not Solar-Ready,DCLA,Aquatic Bird House,2031200020,2300 Southern Blvd,Bronx,EJZ,"20,110 GSF",Poor,Unknown,,
560,560,560,560,15,Not Solar-Ready,DCLA,Harriet Barnes Pratt Library Wing,2032730001,2674 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"20,950 GSF",Good,10 to 14 years,,
561,561,561,561,15,Not Solar-Ready,NYPL,Belmont Branch Library,2030730020,610 East 186th St,Bronx,EJZ,"21,267 GSF",Poor,Unknown,,
562,562,562,562,15,Not Solar-Ready,DCLA,Wildlife Health Center,2031200020,2300 Southern Blvd,Bronx,EJZ,"21,320 GSF",Fair,> 20 years,,
563,563,563,563,15,Not Solar-Ready,FDNY,"BX Boro Command, District Office and Communications",2029090040,453 East 176th St,Bronx,EJZ,"21,479 GSF",Unknown,10 to 14 years,,
564,564,564,564,15,Not Solar-Ready,DCLA,NYBG Maintenance Buildings,2,2645 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"21,600 GSF",Between Fair and Poor,> 20 years,,
565,565,565,565,15,Not Solar-Ready,DCLA,TOPS,2031200020,2300 Southern Blvd,Bronx,EJZ,"22,000 GSF",Good,15 to 19 years,,
566,566,566,566,15,Not Solar-Ready,NYPD,Transit District 12,2040150001,460 Morris Park Ave,Bronx,EJZ,"24,700 GSF",Between Good and Fair,15 to 19 years,,
567,567,567,567,15,Not Solar-Ready,DOE,X864,2031140052,2375 SOUTHERN BOULEVARD,Bronx,EJZ,"25,260 GSF",Fair,10 to 14 years,,
568,568,568,568,15,Not Solar-Ready,NYPD,46th Precinct,2031490090,2120 Ryer Ave,Bronx,EJZ,"25,434 GSF",Good,15 to 19 years,,
569,569,569,569,15,Not Solar-Ready,DCLA,Pfizer Plant Research Laboratory,2,2692 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"25,880 GSF",Good,10 to 14 years,,
570,570,570,570,15,Not Solar-Ready,DOE,X209,2031460072,317 EAST 183 STREET,Bronx,EJZ,"26,400 GSF",Fair,> 20 years,,
571,571,571,571,15,Not Solar-Ready,DCLA,Jeannette Kittredge Watson Science and Education Building,2,2674 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"27,168 GSF",Good,10 to 14 years,,
572,572,572,572,15,Not Solar-Ready,DCLA,Administration West,2031200020,2300 Southern Blvd,Bronx,EJZ,"27,720 GSF",Fair,Unknown,,
573,573,573,573,15,Solar-Ready,DCLA,World of Birds,2031200020,2300 Southern Blvd,Bronx,EJZ,"29,110 GSF",Good,2 to 4 years,,
574,574,574,574,15,Solar-Ready,DCLA,Center for Global Conservation,2031200020,2300 Southern Blvd,Bronx,EJZ,"30,000 GSF",Good,5 to 9 years,,
575,575,575,575,15,Not Solar-Ready,DFTA,East Concourse Senior Center,2028040021,236 East Tremont Ave,Bronx,EJZ,"31,496 GSF",Between Good and Fair,10 to 14 years,,
576,576,576,576,15,Not Solar-Ready,DSNY,Bronx Lot Cleaning,2030470050,4389 3rd Ave,Bronx,EJZ,"34,000 GSF",Poor,> 20 years,,
577,577,577,577,15,Not Solar-Ready,DOT,"BX Borough Engineering, BX Sign Shop",2,4409 Park Ave,Bronx,EJZ,"35,735 GSF",Good,15 to 19 years,,
578,578,578,578,15,Not Solar-Ready,DOE,X163,2031420048,2075 WEBSTER AVENUE,Bronx,EJZ,"39,811 GSF",Between Fair and Poor,15 to 19 years,,
579,579,579,579,15,Not Solar-Ready,DCLA,Congo Gorilla Forest,2031200020,2300 Southern Blvd,Bronx,EJZ,"40,000 GSF",Good,15 to 19 years,,
580,580,580,580,15,Solar-Ready,DCLA,Madagascar (Old Lion House),2031200020,2300 Southern Blvd,Bronx,EJZ,"40,268 GSF",Fair,5 to 9 years,,
581,581,581,581,15,Not Solar-Ready,DOT,Fleet Services Maintenance and Repair,2030300028,2144 Webster Ave,Bronx,EJZ,"45,000 GSF",Between Fair and Poor,15 to 19 years,,
582,582,582,582,15,Not Solar-Ready,DCLA,Nolen Glasshouses,2,2658 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"45,400 GSF",Good,10 to 14 years,,
583,583,583,583,15,Not Solar-Ready,DCLA,Enid A. Haupt Conservatory,2,2740 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"50,741 GSF",Poor,> 20 years,,
584,584,584,584,15,Not Solar-Ready,DCLA,International Plant Science Center,2,2680 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"53,740 GSF",Good,15 to 19 years,,
585,585,585,585,15,Not Solar-Ready,DPR,Bronx Parks Headquarters and Shops - Ranaqua,2,1900 Birchall Ave,Bronx,EJZ,"65,000 GSF",Fair,15 to 19 years,,
586,586,586,586,15,Solar-Ready,DOE,X205,2031150021,2475 SOUTHERN BOULEVARD,Bronx,EJZ,"66,080 GSF",Good,5 to 9 years,Yes,
587,587,587,587,15,Not Solar-Ready,DOE,X234,2031090001,2050 PROSPECT AVENUE,Bronx,EJZ,"73,497 GSF",Between Fair and Poor,15 to 19 years,,
588,588,588,588,15,Not Solar-Ready,NYPL,Bronx Library Center,2031540083,310 East Kingsbridge Rd,Bronx,EJZ,"74,476 GSF",Good,10 to 14 years,,
589,589,589,589,15,Solar-Ready,DOE,X058,2029090032,459 East 176th Street,Bronx,EJZ,"74,480 GSF",Good,5 to 9 years,Yes,
590,590,590,590,15,Solar-Ready,DOE,X465,2029230018,4143 3RD AVENUE,Bronx,EJZ,"78,910 GSF",Between Good and Fair,5 to 9 years,,
591,591,591,591,15,Not Solar-Ready,DOE,X059,2030490037,2185 BATHGATE AVENUE,Bronx,EJZ,"82,880 GSF",Fair,10 to 14 years,,
592,592,592,592,15,Solar-Ready,DOE,X254,2030580003,2452 WASHINGTON AVE.,Bronx,EJZ,"82,880 GSF",Good,< 2 years,,
593,593,593,593,15,Not Solar-Ready,DOE,X023,2030370079,2151 WASHINGTON AVE.,Bronx,EJZ,"90,031 GSF",Fair,> 20 years,,
594,594,594,594,15,Not Solar-Ready,DOE,X046,2032950001,279 EAST 196 STREET,Bronx,EJZ,"90,087 GSF",Between Fair and Poor,> 20 years,,
595,595,595,595,15,Not Solar-Ready,DOE,X054,2032780014,2703 WEBSTER AVE,Bronx,EJZ,"91,200 GSF",Fair,15 to 19 years,,
596,596,596,596,15,Not Solar-Ready,DOE,X057,2030810026,2111 CROTONA AVENUE,Bronx,EJZ,"91,280 GSF",Fair,15 to 19 years,,
597,597,597,597,15,Solar-Ready,DOE,X028,2028040031,1861 ANTHONY AVENUE,Bronx,EJZ,"93,423 GSF",Good,5 to 9 years,Yes,
598,598,598,598,15,Not Solar-Ready,DOE,X003,2030620043,2100 LAFONTAINE AVENUE,Bronx,EJZ,"96,080 GSF",Fair,> 20 years,,
599,599,599,599,15,Not Solar-Ready,DOE,X032,2030850001,690 EAST 183 STREET,Bronx,EJZ,"97,908 GSF",Fair,10 to 14 years,,
600,600,600,600,15,Not Solar-Ready,DOE,X118,2030690001,577 EAST 179 STREET,Bronx,EJZ,"98,236 GSF",Fair,15 to 19 years,,
601,601,601,601,15,Not Solar-Ready,DOE,X085,2030240021,2400 MARION AVENUE,Bronx,EJZ,"117,624 GSF",Under construction,Under construction,,
602,602,602,602,15,Solar-Ready,DCLA,LuEsther T. Mertz Library,2030240021,2674 Dr. Theodore Kazimiroff Blvd,Bronx,EJZ,"121,200 GSF",Good,5 to 9 years,,
603,603,603,603,15,Not Solar-Ready,DOE,X009,2031500010,230 East 183rd St,Bronx,EJZ,"121,213 GSF",Fair,10 to 14 years,,
604,604,604,604,15,Not Solar-Ready,DOE,X096,2043410013,650 WARING AVENUE,Bronx,EJZ,"122,835 GSF",Fair,15 to 19 years,,
605,605,605,605,15,Not Solar-Ready,DOE,X004,2029300001,1701 FULTON AVENUE,Bronx,EJZ,"127,325 GSF",Poor,15 to 19 years,Yes,
